match_id,league,date,time,kickoff_time_utc,home_team,away_team,home_goals,away_goals,result,home_odds,draw_odds,away_odds
SP1_2024-08-15_ath-bilbao_getafe,SP1,2024-08-15,18:00,2024-08-15 17:00:00+00:00,Ath Bilbao,Getafe,1,1,D,1.59,3.63,6.96
SP1_2024-08-15_betis_girona,SP1,2024-08-15,20:30,2024-08-15 19:30:00+00:00,Betis,Girona,1,1,D,2.35,3.37,3.1
SP1_2024-08-16_celta_alaves,SP1,2024-08-16,18:00,2024-08-16 17:00:00+00:00,Celta,Alaves,2,1,H,2.1,3.24,3.86
F1_2024-08-16_le-havre_paris-sg,F1,2024-08-16,19:45,2024-08-16 18:45:00+00:00,Le Havre,Paris SG,1,4,A,7.3,4.73,1.43
E0_2024-08-16_man-united_fulham,E0,2024-08-16,20:00,2024-08-16 19:00:00+00:00,Man United,Fulham,1,0,H,1.66,4.2,5.02
SP1_2024-08-16_las-palmas_sevilla,SP1,2024-08-16,20:30,2024-08-16 19:30:00+00:00,Las Palmas,Sevilla,2,2,D,2.66,3.19,2.83
E0_2024-08-17_ipswich_liverpool,E0,2024-08-17,12:30,2024-08-17 11:30:00+00:00,Ipswich,Liverpool,0,2,A,7.87,5.81,1.35
E0_2024-08-17_arsenal_wolves,E0,2024-08-17,15:00,2024-08-17 14:00:00+00:00,Arsenal,Wolves,2,0,H,1.15,8.62,18.11
E0_2024-08-17_everton_brighton,E0,2024-08-17,15:00,2024-08-17 14:00:00+00:00,Everton,Brighton,0,3,A,3.06,3.4,2.38
E0_2024-08-17_newcastle_southampton,E0,2024-08-17,15:00,2024-08-17 14:00:00+00:00,Newcastle,Southampton,1,0,H,1.39,5.27,7.33
E0_2024-08-17_nott-m-forest_bournemouth,E0,2024-08-17,15:00,2024-08-17 14:00:00+00:00,Nott'm Forest,Bournemouth,1,1,D,2.25,3.44,3.23
F1_2024-08-17_brest_marseille,F1,2024-08-17,16:00,2024-08-17 15:00:00+00:00,Brest,Marseille,1,5,A,3.16,3.32,2.34
E0_2024-08-17_west-ham_aston-villa,E0,2024-08-17,17:30,2024-08-17 16:30:00+00:00,West Ham,Aston Villa,1,2,A,2.47,3.51,2.83
I1_2024-08-17_genoa_inter,I1,2024-08-17,17:30,2024-08-17 16:30:00+00:00,Genoa,Inter,2,2,D,7.03,4.27,1.49
I1_2024-08-17_parma_fiorentina,I1,2024-08-17,17:30,2024-08-17 16:30:00+00:00,Parma,Fiorentina,1,1,D,3.52,3.36,2.15
F1_2024-08-17_reims_lille,F1,2024-08-17,18:00,2024-08-17 17:00:00+00:00,Reims,Lille,0,2,A,2.87,3.28,2.55
SP1_2024-08-17_osasuna_leganes,SP1,2024-08-17,18:00,2024-08-17 17:00:00+00:00,Osasuna,Leganes,1,1,D,1.87,3.26,4.92
I1_2024-08-17_empoli_monza,I1,2024-08-17,19:45,2024-08-17 18:45:00+00:00,Empoli,Monza,0,0,D,2.46,3.15,3.12
I1_2024-08-17_milan_torino,I1,2024-08-17,19:45,2024-08-17 18:45:00+00:00,Milan,Torino,2,2,D,1.51,4.37,6.58
F1_2024-08-17_monaco_st-etienne,F1,2024-08-17,20:00,2024-08-17 19:00:00+00:00,Monaco,St Etienne,1,0,H,1.35,5.43,7.95
SP1_2024-08-17_valencia_barcelona,SP1,2024-08-17,20:30,2024-08-17 19:30:00+00:00,Valencia,Barcelona,1,2,A,4.3,3.74,1.84
E0_2024-08-18_brentford_crystal-palace,E0,2024-08-18,14:00,2024-08-18 13:00:00+00:00,Brentford,Crystal Palace,2,1,H,2.85,3.28,2.62
F1_2024-08-18_auxerre_nice,F1,2024-08-18,14:00,2024-08-18 13:00:00+00:00,Auxerre,Nice,2,1,H,2.97,3.3,2.46
F1_2024-08-18_angers_lens,F1,2024-08-18,16:00,2024-08-18 15:00:00+00:00,Angers,Lens,0,1,A,6.48,3.93,1.57
F1_2024-08-18_montpellier_strasbourg,F1,2024-08-18,16:00,2024-08-18 15:00:00+00:00,Montpellier,Strasbourg,1,1,D,2.08,3.53,3.54
F1_2024-08-18_toulouse_nantes,F1,2024-08-18,16:00,2024-08-18 15:00:00+00:00,Toulouse,Nantes,0,0,D,2.08,3.33,3.75
E0_2024-08-18_chelsea_man-city,E0,2024-08-18,16:30,2024-08-18 15:30:00+00:00,Chelsea,Man City,0,2,A,3.64,3.83,1.98
I1_2024-08-18_bologna_udinese,I1,2024-08-18,17:30,2024-08-18 16:30:00+00:00,Bologna,Udinese,1,1,D,2.06,3.22,3.96
I1_2024-08-18_verona_napoli,I1,2024-08-18,17:30,2024-08-18 16:30:00+00:00,Verona,Napoli,3,0,H,5.17,3.7,1.72
SP1_2024-08-18_sociedad_vallecano,SP1,2024-08-18,18:00,2024-08-18 17:00:00+00:00,Sociedad,Vallecano,1,2,A,1.77,3.38,5.37
F1_2024-08-18_rennes_lyon,F1,2024-08-18,19:45,2024-08-18 18:45:00+00:00,Rennes,Lyon,3,0,H,2.33,3.42,3.08
I1_2024-08-18_cagliari_roma,I1,2024-08-18,19:45,2024-08-18 18:45:00+00:00,Cagliari,Roma,0,0,D,3.7,3.45,2.07
I1_2024-08-18_lazio_venezia,I1,2024-08-18,19:45,2024-08-18 18:45:00+00:00,Lazio,Venezia,3,1,H,1.4,4.65,8.56
SP1_2024-08-18_mallorca_real-madrid,SP1,2024-08-18,20:30,2024-08-18 19:30:00+00:00,Mallorca,Real Madrid,1,1,D,8.64,4.85,1.38
I1_2024-08-19_lecce_atalanta,I1,2024-08-19,17:30,2024-08-19 16:30:00+00:00,Lecce,Atalanta,0,4,A,3.58,3.35,2.14
SP1_2024-08-19_valladolid_espanol,SP1,2024-08-19,18:00,2024-08-19 17:00:00+00:00,Valladolid,Espanol,1,0,H,2.3,2.9,3.71
I1_2024-08-19_juventus_como,I1,2024-08-19,19:45,2024-08-19 18:45:00+00:00,Juventus,Como,3,0,H,1.54,4.15,6.46
E0_2024-08-19_leicester_tottenham,E0,2024-08-19,20:00,2024-08-19 19:00:00+00:00,Leicester,Tottenham,1,1,D,4.57,4.23,1.71
SP1_2024-08-19_villarreal_ath-madrid,SP1,2024-08-19,20:30,2024-08-19 19:30:00+00:00,Villarreal,Ath Madrid,2,2,D,3.48,3.57,2.08
SP1_2024-08-23_celta_valencia,SP1,2024-08-23,18:00,2024-08-23 17:00:00+00:00,Celta,Valencia,3,1,H,2.17,3.35,3.53
D1_2024-08-23_m-gladbach_leverkusen,D1,2024-08-23,19:30,2024-08-23 18:30:00+00:00,M'gladbach,Leverkusen,2,3,A,5.09,4.46,1.6
F1_2024-08-23_paris-sg_montpellier,F1,2024-08-23,19:45,2024-08-23 18:45:00+00:00,Paris SG,Montpellier,6,0,H,1.21,6.96,11.63
SP1_2024-08-23_sevilla_villarreal,SP1,2024-08-23,20:30,2024-08-23 19:30:00+00:00,Sevilla,Villarreal,1,2,A,2.19,3.61,3.22
E0_2024-08-24_brighton_man-united,E0,2024-08-24,12:30,2024-08-24 11:30:00+00:00,Brighton,Man United,2,1,H,2.41,3.72,2.81
D1_2024-08-24_augsburg_werder-bremen,D1,2024-08-24,14:30,2024-08-24 13:30:00+00:00,Augsburg,Werder Bremen,2,2,D,2.46,3.54,2.82
D1_2024-08-24_freiburg_stuttgart,D1,2024-08-24,14:30,2024-08-24 13:30:00+00:00,Freiburg,Stuttgart,3,1,H,3.62,3.81,1.98
D1_2024-08-24_hoffenheim_holstein-kiel,D1,2024-08-24,14:30,2024-08-24 13:30:00+00:00,Hoffenheim,Holstein Kiel,3,2,H,1.62,4.54,4.87
D1_2024-08-24_mainz_union-berlin,D1,2024-08-24,14:30,2024-08-24 13:30:00+00:00,Mainz,Union Berlin,1,1,D,2.08,3.34,3.8
D1_2024-08-24_rb-leipzig_bochum,D1,2024-08-24,14:30,2024-08-24 13:30:00+00:00,RB Leipzig,Bochum,1,0,H,1.22,7.05,11.94
E0_2024-08-24_crystal-palace_west-ham,E0,2024-08-24,15:00,2024-08-24 14:00:00+00:00,Crystal Palace,West Ham,0,2,A,1.98,3.78,3.72
E0_2024-08-24_fulham_leicester,E0,2024-08-24,15:00,2024-08-24 14:00:00+00:00,Fulham,Leicester,2,1,H,1.88,3.71,4.21
E0_2024-08-24_man-city_ipswich,E0,2024-08-24,15:00,2024-08-24 14:00:00+00:00,Man City,Ipswich,4,1,H,1.09,11.44,27.5
E0_2024-08-24_southampton_nott-m-forest,E0,2024-08-24,15:00,2024-08-24 14:00:00+00:00,Southampton,Nott'm Forest,0,1,A,2.36,3.48,3.04
E0_2024-08-24_tottenham_everton,E0,2024-08-24,15:00,2024-08-24 14:00:00+00:00,Tottenham,Everton,4,0,H,1.37,5.39,7.91
F1_2024-08-24_lyon_monaco,F1,2024-08-24,16:00,2024-08-24 15:00:00+00:00,Lyon,Monaco,0,2,A,2.71,3.72,2.46
SP1_2024-08-24_osasuna_mallorca,SP1,2024-08-24,16:00,2024-08-24 15:00:00+00:00,Osasuna,Mallorca,1,0,H,2.37,3.11,3.33
D1_2024-08-24_dortmund_ein-frankfurt,D1,2024-08-24,17:30,2024-08-24 16:30:00+00:00,Dortmund,Ein Frankfurt,2,0,H,1.76,4.1,4.36
E0_2024-08-24_aston-villa_arsenal,E0,2024-08-24,17:30,2024-08-24 16:30:00+00:00,Aston Villa,Arsenal,0,2,A,4.66,4.02,1.74
I1_2024-08-24_parma_milan,I1,2024-08-24,17:30,2024-08-24 16:30:00+00:00,Parma,Milan,2,1,H,5.36,4.17,1.62
I1_2024-08-24_udinese_lazio,I1,2024-08-24,17:30,2024-08-24 16:30:00+00:00,Udinese,Lazio,2,1,H,3.34,3.14,2.35
F1_2024-08-24_lille_angers,F1,2024-08-24,18:00,2024-08-24 17:00:00+00:00,Lille,Angers,2,0,H,1.35,4.92,9.81
SP1_2024-08-24_barcelona_ath-bilbao,SP1,2024-08-24,18:00,2024-08-24 17:00:00+00:00,Barcelona,Ath Bilbao,2,1,H,1.59,4.28,5.45
I1_2024-08-24_inter_lecce,I1,2024-08-24,19:45,2024-08-24 18:45:00+00:00,Inter,Lecce,2,0,H,1.2,6.81,14.71
I1_2024-08-24_monza_genoa,I1,2024-08-24,19:45,2024-08-24 18:45:00+00:00,Monza,Genoa,0,1,A,2.7,3.06,2.87
F1_2024-08-24_st-etienne_le-havre,F1,2024-08-24,20:00,2024-08-24 19:00:00+00:00,St Etienne,Le Havre,0,2,A,2.02,3.36,3.95
SP1_2024-08-24_espanol_sociedad,SP1,2024-08-24,20:30,2024-08-24 19:30:00+00:00,Espanol,Sociedad,0,1,A,3.86,3.11,2.16
SP1_2024-08-24_getafe_vallecano,SP1,2024-08-24,20:30,2024-08-24 19:30:00+00:00,Getafe,Vallecano,0,0,D,2.66,2.8,3.22
E0_2024-08-25_bournemouth_newcastle,E0,2024-08-25,14:00,2024-08-25 13:00:00+00:00,Bournemouth,Newcastle,1,1,D,2.57,3.65,2.64
E0_2024-08-25_wolves_chelsea,E0,2024-08-25,14:00,2024-08-25 13:00:00+00:00,Wolves,Chelsea,2,6,A,3.89,3.89,1.91
F1_2024-08-25_lens_brest,F1,2024-08-25,14:00,2024-08-25 13:00:00+00:00,Lens,Brest,2,0,H,1.88,3.51,4.37
D1_2024-08-25_wolfsburg_bayern-munich,D1,2024-08-25,14:30,2024-08-25 13:30:00+00:00,Wolfsburg,Bayern Munich,2,3,A,6.36,4.67,1.49
F1_2024-08-25_nantes_auxerre,F1,2024-08-25,16:00,2024-08-25 15:00:00+00:00,Nantes,Auxerre,2,0,H,2.47,3.36,2.93
F1_2024-08-25_nice_toulouse,F1,2024-08-25,16:00,2024-08-25 15:00:00+00:00,Nice,Toulouse,1,1,D,2.08,3.29,3.85
F1_2024-08-25_strasbourg_rennes,F1,2024-08-25,16:00,2024-08-25 15:00:00+00:00,Strasbourg,Rennes,3,1,H,3.26,3.28,2.28
SP1_2024-08-25_real-madrid_valladolid,SP1,2024-08-25,16:00,2024-08-25 15:00:00+00:00,Real Madrid,Valladolid,3,0,H,1.14,9.12,18.96
D1_2024-08-25_st-pauli_heidenheim,D1,2024-08-25,16:30,2024-08-25 15:30:00+00:00,St Pauli,Heidenheim,0,2,A,2.0,3.51,3.8
E0_2024-08-25_liverpool_brentford,E0,2024-08-25,16:30,2024-08-25 15:30:00+00:00,Liverpool,Brentford,2,0,H,1.22,7.19,11.82
I1_2024-08-25_fiorentina_venezia,I1,2024-08-25,17:30,2024-08-25 16:30:00+00:00,Fiorentina,Venezia,0,0,D,1.47,4.59,6.75
I1_2024-08-25_torino_atalanta,I1,2024-08-25,17:30,2024-08-25 16:30:00+00:00,Torino,Atalanta,2,1,H,3.53,3.26,2.2
SP1_2024-08-25_leganes_las-palmas,SP1,2024-08-25,18:00,2024-08-25 17:00:00+00:00,Leganes,Las Palmas,2,1,H,2.43,2.98,3.38
SP1_2024-08-25_alaves_betis,SP1,2024-08-25,18:15,2024-08-25 17:15:00+00:00,Alaves,Betis,0,0,D,2.45,2.97,3.3
F1_2024-08-25_marseille_reims,F1,2024-08-25,19:45,2024-08-25 18:45:00+00:00,Marseille,Reims,2,2,D,1.35,5.36,8.48
I1_2024-08-25_napoli_bologna,I1,2024-08-25,19:45,2024-08-25 18:45:00+00:00,Napoli,Bologna,3,0,H,1.98,3.38,4.1
I1_2024-08-25_roma_empoli,I1,2024-08-25,19:45,2024-08-25 18:45:00+00:00,Roma,Empoli,1,2,A,1.46,4.43,7.44
SP1_2024-08-25_ath-madrid_girona,SP1,2024-08-25,20:30,2024-08-25 19:30:00+00:00,Ath Madrid,Girona,3,0,H,1.48,4.65,6.44
I1_2024-08-26_cagliari_como,I1,2024-08-26,17:30,2024-08-26 16:30:00+00:00,Cagliari,Como,1,1,D,2.24,3.3,3.35
I1_2024-08-26_verona_juventus,I1,2024-08-26,19:45,2024-08-26 18:45:00+00:00,Verona,Juventus,0,3,A,4.69,3.46,1.85
SP1_2024-08-26_villarreal_celta,SP1,2024-08-26,20:30,2024-08-26 19:30:00+00:00,Villarreal,Celta,4,3,H,1.66,4.2,4.91
SP1_2024-08-27_mallorca_sevilla,SP1,2024-08-27,18:00,2024-08-27 17:00:00+00:00,Mallorca,Sevilla,0,0,D,2.32,3.18,3.37
SP1_2024-08-27_vallecano_barcelona,SP1,2024-08-27,20:30,2024-08-27 19:30:00+00:00,Vallecano,Barcelona,1,2,A,5.26,3.98,1.67
SP1_2024-08-28_ath-bilbao_valencia,SP1,2024-08-28,18:00,2024-08-28 17:00:00+00:00,Ath Bilbao,Valencia,1,0,H,1.73,3.69,5.14
SP1_2024-08-28_valladolid_leganes,SP1,2024-08-28,18:00,2024-08-28 17:00:00+00:00,Valladolid,Leganes,0,0,D,2.21,3.01,3.88
SP1_2024-08-28_ath-madrid_espanol,SP1,2024-08-28,20:30,2024-08-28 19:30:00+00:00,Ath Madrid,Espanol,0,0,D,1.26,5.74,13.11
SP1_2024-08-28_sociedad_alaves,SP1,2024-08-28,20:30,2024-08-28 19:30:00+00:00,Sociedad,Alaves,1,2,A,1.6,3.77,6.61
SP1_2024-08-29_girona_osasuna,SP1,2024-08-29,18:00,2024-08-29 17:00:00+00:00,Girona,Osasuna,4,0,H,1.69,3.93,4.99
SP1_2024-08-29_las-palmas_real-madrid,SP1,2024-08-29,20:30,2024-08-29 19:30:00+00:00,Las Palmas,Real Madrid,1,1,D,9.07,5.49,1.33
I1_2024-08-30_venezia_torino,I1,2024-08-30,17:30,2024-08-30 16:30:00+00:00,Venezia,Torino,0,1,A,3.39,3.27,2.26
D1_2024-08-30_union-berlin_st-pauli,D1,2024-08-30,19:30,2024-08-30 18:30:00+00:00,Union Berlin,St Pauli,1,0,H,1.97,3.43,4.13
F1_2024-08-30_lyon_strasbourg,F1,2024-08-30,19:45,2024-08-30 18:45:00+00:00,Lyon,Strasbourg,4,3,H,2.04,3.64,3.59
I1_2024-08-30_inter_atalanta,I1,2024-08-30,19:45,2024-08-30 18:45:00+00:00,Inter,Atalanta,4,0,H,1.52,4.42,6.14
E0_2024-08-31_arsenal_brighton,E0,2024-08-31,12:30,2024-08-31 11:30:00+00:00,Arsenal,Brighton,1,1,D,1.37,5.37,8.0
D1_2024-08-31_bochum_m-gladbach,D1,2024-08-31,14:30,2024-08-31 13:30:00+00:00,Bochum,M'gladbach,0,2,A,2.86,3.75,2.34
D1_2024-08-31_ein-frankfurt_hoffenheim,D1,2024-08-31,14:30,2024-08-31 13:30:00+00:00,Ein Frankfurt,Hoffenheim,3,1,H,1.67,4.4,4.62
D1_2024-08-31_holstein-kiel_wolfsburg,D1,2024-08-31,14:30,2024-08-31 13:30:00+00:00,Holstein Kiel,Wolfsburg,0,2,A,2.97,3.64,2.32
D1_2024-08-31_stuttgart_mainz,D1,2024-08-31,14:30,2024-08-31 13:30:00+00:00,Stuttgart,Mainz,3,3,D,1.66,4.25,4.88
