season,outcome,bin,avg_pred,actual,error,count
2024-2025,home,1,0.11867541928366726,0.056818181818181816,-0.061857237465485444,88
2024-2025,home,2,0.17605088446774061,0.14772727272727273,-0.02832361174046788,88
2024-2025,home,3,0.215417886718239,0.16091954022988506,-0.054498346488353944,87
2024-2025,home,4,0.2522868066592063,0.23863636363636365,-0.013650443022842629,88
2024-2025,home,5,0.28305594817308805,0.26436781609195403,-0.018688132081134012,87
2024-2025,home,6,0.30978372010984007,0.22727272727272727,-0.0825109928371128,88
2024-2025,home,7,0.33853109923808106,0.2988505747126437,-0.039680524525437355,87
2024-2025,home,8,0.36683808279930974,0.38636363636363635,0.019525553564326614,88
2024-2025,home,9,0.39313392046329115,0.3103448275862069,-0.08278909287708425,87
2024-2025,home,10,0.412838562427458,0.4318181818181818,0.018979619390723845,88
2024-2025,home,11,0.44066346052393296,0.3977272727272727,-0.04293618779666025,88
2024-2025,home,12,0.4701527492355694,0.4367816091954023,-0.03337114004016706,87
2024-2025,home,13,0.497645806581337,0.4772727272727273,-0.02037307930860971,88
2024-2025,home,14,0.52631605265066,0.4942528735632184,-0.03206317908744155,87
2024-2025,home,15,0.5573736115435701,0.6136363636363636,0.05626275209279352,88
2024-2025,home,16,0.591209125463172,0.5057471264367817,-0.08546199902639029,87
2024-2025,home,17,0.6368373427804166,0.5568181818181818,-0.08001916096223483,88
2024-2025,home,18,0.6839600578241622,0.7241379310344828,0.040177873210320514,87
2024-2025,home,19,0.7317971512646818,0.8181818181818182,0.08638466691713642,88
2024-2025,home,20,0.8137758118176396,0.8522727272727273,0.03849691545508771,88
2024-2025,draw,1,0.1188907492443124,0.06818181818181818,-0.05070893106249422,88
2024-2025,draw,2,0.1600700252282455,0.13636363636363635,-0.023706388864609157,88
2024-2025,draw,3,0.1823801191524598,0.21839080459770116,0.03601068544524136,87
2024-2025,draw,4,0.19882189460195407,0.23863636363636365,0.03981446903440958,88
2024-2025,draw,5,0.21352323879311974,0.1724137931034483,-0.04110944568967145,87
2024-2025,draw,6,0.22475264279840584,0.3522727272727273,0.12752008447432145,88
2024-2025,draw,7,0.23486991025663023,0.22988505747126436,-0.0049848527853658675,87
2024-2025,draw,8,0.24403374344259718,0.18181818181818182,-0.062215561624415355,88
2024-2025,draw,9,0.2516843766050795,0.19540229885057472,-0.05628207775450475,87
2024-2025,draw,10,0.25681938870656223,0.26136363636363635,0.004544247657074119,88
2024-2025,draw,11,0.26270461053043515,0.2159090909090909,-0.046795519621344234,88
2024-2025,draw,12,0.2680729001839049,0.26436781609195403,-0.003705084091950861,87
2024-2025,draw,13,0.272469969817351,0.2727272727272727,0.00025730290992170834,88
2024-2025,draw,14,0.27729986484163394,0.27586206896551724,-0.0014377958761166987,87
2024-2025,draw,15,0.2822785285942662,0.29545454545454547,0.01317601686027925,88
